# Force coefficients
# dragDir     : (9.961949e-01 8.715319e-02 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (-8.715319e-02 9.961949e-01 0.000000e+00)
# rollAxis    : (9.961949e-01 8.715319e-02 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (-8.715319e-02 9.961949e-01 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
1             	1.166478e+01	-1.101286e-19	2.778917e+01	1.389459e+01	-7.283788e+00	-5.832392e+00	1.972698e+01	-8.062194e+00	-5.832392e+00	5.832392e+00	6.610797e+00	2.117837e+01
2             	4.635295e+00	-4.141954e-20	1.238631e+01	6.193156e+00	-3.334230e+00	-2.317648e+00	8.510804e+00	-3.875509e+00	-2.317648e+00	2.317648e+00	2.858927e+00	9.527386e+00
3             	-9.073451e-01	-7.321680e-21	1.322827e+00	6.614135e-01	-3.600718e-01	4.536726e-01	2.077409e-01	-1.115086e+00	4.536726e-01	-4.536726e-01	3.013417e-01	1.021485e+00
4             	-3.475051e+00	6.258221e-21	-2.369780e+00	-1.184890e+00	5.730144e-01	1.737525e+00	-2.922415e+00	-5.526353e-01	1.737525e+00	-1.737525e+00	-6.118756e-01	-1.757904e+00
5             	-1.871758e+00	6.455763e-21	-1.852846e+00	-9.264228e-01	5.017543e-01	9.358789e-01	-1.862302e+00	-9.456043e-03	9.358789e-01	-9.358789e-01	-4.246685e-01	-1.428177e+00
6             	-2.241320e-01	2.358935e-21	-4.104172e-01	-2.052086e-01	1.673390e-01	1.120660e-01	-3.172746e-01	9.314261e-02	1.120660e-01	-1.120660e-01	-3.786964e-02	-3.725476e-01
7             	4.320690e-01	-6.791639e-22	4.349195e-01	2.174598e-01	-4.604908e-02	-2.160345e-01	4.334942e-01	-1.425281e-03	-2.160345e-01	2.160345e-01	1.714107e-01	2.635088e-01
8             	4.025426e-01	-1.077789e-21	5.152782e-01	2.576391e-01	-6.603973e-02	-2.012713e-01	4.589104e-01	-5.636780e-02	-2.012713e-01	2.012713e-01	1.915994e-01	3.236788e-01
9             	1.597622e-01	-4.285787e-22	2.656202e-01	1.328101e-01	-6.126246e-03	-7.988110e-02	2.126912e-01	-5.292899e-02	-7.988110e-02	7.988110e-02	1.266838e-01	1.389363e-01
10            	-3.819390e-05	5.747877e-23	7.825777e-02	3.912888e-02	3.843881e-02	1.909695e-05	3.910979e-02	-3.914798e-02	1.909695e-05	-1.909695e-05	7.756769e-02	6.900711e-04
11            	-1.744235e-02	9.005615e-23	5.046984e-02	2.523492e-02	4.417496e-02	8.721173e-03	1.651375e-02	-3.395609e-02	8.721173e-03	-8.721173e-03	6.940988e-02	-1.894004e-02
