# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	gammaInt_solver	gammaInt_initial	gammaInt_final	gammaInt_iters	gammaInt_converged	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged	ReThetat_solver	ReThetat_initial	ReThetat_final	ReThetat_iters	ReThetat_converged
1             	DILUPBiCGStab	1.000000e+00	1.903710e-03	1	1.000000e+00	1.860990e-03	1	false	DILUPBiCGStab	1.000000e+00	1.179890e-03	2	true	GAMG	1.000000e+00	6.713950e-03	20	true	DILUPBiCGStab	1.000000e+00	3.598030e-03	1	true	DILUPBiCGStab	2.047950e-02	1.633590e-05	1	true	DILUPBiCGStab	1.000000e+00	6.712800e-05	1	true
2             	DILUPBiCGStab	1.565860e-02	2.104350e-05	2	6.492110e-02	3.288220e-04	1	false	DILUPBiCGStab	8.318580e-01	6.784420e-03	1	true	GAMG	5.044270e-02	4.349780e-04	2	true	DILUPBiCGStab	1.840240e-02	2.644460e-05	1	true	DILUPBiCGStab	1.903390e-03	1.247520e-05	1	true	DILUPBiCGStab	6.413180e-01	1.696550e-05	1	true
3             	DILUPBiCGStab	1.153280e-03	1.728500e-06	2	6.669100e-03	4.507400e-05	1	false	DILUPBiCGStab	2.465000e-01	5.049890e-04	1	true	GAMG	7.596240e-02	5.524490e-04	3	true	DILUPBiCGStab	7.143350e-03	6.581020e-05	1	true	DILUPBiCGStab	3.593650e-03	1.241320e-05	1	true	DILUPBiCGStab	2.955440e-01	7.561320e-06	1	true
4             	DILUPBiCGStab	5.847720e-04	1.024890e-06	2	1.593160e-03	1.269920e-05	1	false	DILUPBiCGStab	3.256470e-02	1.100470e-04	1	true	GAMG	9.978650e-02	6.523960e-04	2	true	DILUPBiCGStab	1.905630e-03	2.902320e-06	1	true	DILUPBiCGStab	9.241310e-04	2.804220e-07	1	true	DILUPBiCGStab	1.712730e-01	4.465210e-06	1	true
5             	DILUPBiCGStab	1.550570e-03	4.219400e-06	2	3.132290e-03	2.558520e-05	1	false	DILUPBiCGStab	8.280850e-03	2.780030e-05	1	true	GAMG	2.852690e-02	1.706120e-04	2	true	DILUPBiCGStab	4.213440e-04	1.985710e-06	1	true	DILUPBiCGStab	2.062890e-04	2.503800e-07	1	true	DILUPBiCGStab	1.125740e-01	3.094920e-06	1	true
6             	DILUPBiCGStab	1.724740e-03	5.047530e-06	2	4.700680e-03	3.661240e-05	1	false	DILUPBiCGStab	3.038230e-03	9.545530e-06	1	true	GAMG	3.170010e-02	2.976750e-04	2	true	DILUPBiCGStab	2.630320e-04	1.626960e-06	1	true	DILUPBiCGStab	9.204400e-05	1.919010e-07	1	true	DILUPBiCGStab	8.055840e-02	2.352880e-06	1	true
7             	DILUPBiCGStab	7.308580e-04	1.385290e-06	2	2.985260e-03	3.628020e-06	2	false	DILUPBiCGStab	2.195590e-03	6.503440e-06	1	true	GAMG	6.219590e-02	4.907480e-04	2	true	DILUPBiCGStab	2.114940e-04	1.485440e-06	1	true	DILUPBiCGStab	8.759000e-05	1.739930e-07	1	true	DILUPBiCGStab	6.079510e-02	1.887180e-06	1	true
8             	DILUPBiCGStab	4.979150e-04	9.754620e-07	2	1.910000e-03	2.622550e-06	2	false	DILUPBiCGStab	1.855900e-03	5.343060e-06	1	true	GAMG	5.286220e-02	3.252150e-04	2	true	DILUPBiCGStab	2.214740e-04	1.390990e-06	1	true	DILUPBiCGStab	4.970760e-05	1.276600e-07	1	true	DILUPBiCGStab	4.767040e-02	1.572340e-06	1	true
9             	DILUPBiCGStab	3.697340e-04	6.157290e-07	2	1.375620e-03	1.343700e-05	1	false	DILUPBiCGStab	1.227460e-03	4.658570e-06	1	true	GAMG	3.368910e-02	3.306570e-04	2	true	DILUPBiCGStab	2.002630e-04	1.391540e-06	1	true	DILUPBiCGStab	3.824940e-05	1.053000e-07	1	true	DILUPBiCGStab	3.852620e-02	1.350120e-06	1	true
10            	DILUPBiCGStab	2.808380e-04	1.074310e-08	3	9.840900e-04	1.459080e-06	2	false	DILUPBiCGStab	8.965330e-04	4.491490e-06	1	true	GAMG	6.031320e-02	4.600840e-04	2	true	DILUPBiCGStab	1.789010e-04	1.570080e-06	1	true	DILUPBiCGStab	3.014420e-05	9.116250e-08	1	true	DILUPBiCGStab	3.185400e-02	1.185230e-06	1	true
